object_name,original_resolution_width,original_resolution_height,effective_resolution_width,effective_resolution_height,mAP,degradation_factor,GSD,pixels_on_target,knee
Pickup Truck,640,640,224,224,0.0008899398930139254,0.35,0.8571428571428572,29,False
Utility Truck,640,640,224,224,0.008300801061499526,0.35,0.8571428571428572,37,False
Truck,640,640,224,224,0.08195093111980359,0.35,0.8571428571428572,65,False
Cargo Truck,640,640,224,224,0.019319013146717284,0.35,0.8571428571428572,64,False
Truck w/Box,640,640,224,224,0.22411661953648582,0.35,0.8571428571428572,156,False
Truck Tractor,640,640,224,224,0.0005187511546364792,0.35,0.8571428571428572,66,False
Trailer,640,640,224,224,0.03946070783626,0.35,0.8571428571428572,104,False
Truck w/Flatbed,640,640,224,224,0.01796479069966918,0.35,0.8571428571428572,124,False
Truck w/Liquid,640,640,224,224,0.005148428379335523,0.35,0.8571428571428572,121,False
Crane Truck,640,640,224,224,0.00543702754815372,0.35,0.8571428571428572,132,False
Railway Vehicle,640,640,224,224,0.0957158564097671,0.35,0.8571428571428572,218,False
Flat Car,640,640,224,224,0.010356323990006475,0.35,0.8571428571428572,172,False
Tank car,640,640,224,224,0.0957158564097671,0.35,0.8571428571428572,116,False
Locomotive,640,640,224,224,0.10236217946184933,0.35,0.8571428571428572,223,False
Maritime Vessel,640,640,224,224,0.11696370018771021,0.35,0.8571428571428572,1520,False
Motorboat,640,640,224,224,0.04452239154720877,0.35,0.8571428571428572,65,False
Sailboat,640,640,224,224,0.06365225257255339,0.35,0.8571428571428572,101,False
Tugboat,640,640,224,224,0.15723896438769863,0.35,0.8571428571428572,559,False
Barge,640,640,224,224,0.15650200588107419,0.35,0.8571428571428572,1777,False
Fishing Vessel,640,640,224,224,0.018173968679643642,0.35,0.8571428571428572,328,False
Ferry,640,640,224,224,0.1492644475429177,0.35,0.8571428571428572,1264,False
Yacht,640,640,224,224,0.17243909951051878,0.35,0.8571428571428572,393,False
Container Ship,640,640,224,224,0.05055958200595702,0.35,0.8571428571428572,5755,False
Oil Tanker,640,640,224,224,0.11939999999999999,0.35,0.8571428571428572,5183,False
Engineering Vehicle,640,640,224,224,0.015872638457397337,0.35,0.8571428571428572,218,False
Tower crane,640,640,224,224,0.0,0.35,0.8571428571428572,1845,False
Container Crane,640,640,224,224,0.02820357928913192,0.35,0.8571428571428572,2695,False
Reach Stacker,640,640,224,224,0.005801020408163264,0.35,0.8571428571428572,135,False
Straddle Carrier,640,640,224,224,0.49749999999999994,0.35,0.8571428571428572,1686,False
Mobile Crane,640,640,224,224,0.026538637715723574,0.35,0.8571428571428572,758,False
Dump Truck,640,640,224,224,0.043160699779603254,0.35,0.8571428571428572,72,False
Haul Truck,640,640,224,224,0.0,0.35,0.8571428571428572,258,False
Scraper/Tractor,640,640,224,224,0.0,0.35,0.8571428571428572,81,False
Front loader/Bulldozer,640,640,224,224,0.034780166322148545,0.35,0.8571428571428572,67,False
Excavator,640,640,224,224,0.1579164828299633,0.35,0.8571428571428572,93,False
Cement Mixer,640,640,224,224,0.0059375899790226425,0.35,0.8571428571428572,67,False
Ground Grader,640,640,224,224,0.0,0.35,0.8571428571428572,76,False
Hut/Tent,640,640,224,224,0.00103673599020841,0.35,0.8571428571428572,142,False
Shipping Container,640,640,224,224,0.046169351924539984,0.35,0.8571428571428572,88,False
Fixed-wing Aircraft,640,640,256,256,0.28326361242236026,0.4,0.7499999999999999,564,False
Small Aircraft,640,640,256,256,0.20073103920561547,0.4,0.7499999999999999,254,False
Cargo Plane,640,640,256,256,0.572733347735028,0.4,0.7499999999999999,2338,False
Helicopter,640,640,256,256,0.10212244897959186,0.4,0.7499999999999999,310,False
Passenger Vehicle,640,640,256,256,0.03820462997101181,0.4,0.7499999999999999,31,False
Small Car,640,640,256,256,0.13226018338285264,0.4,0.7499999999999999,32,False
Bus,640,640,256,256,0.16005008287220593,0.4,0.7499999999999999,82,False
Pickup Truck,640,640,256,256,0.001281070397834595,0.4,0.7499999999999999,38,False
Utility Truck,640,640,256,256,0.00987412794276892,0.4,0.7499999999999999,48,False
Truck,640,640,256,256,0.09386271619258743,0.4,0.7499999999999999,84,False
Cargo Truck,640,640,256,256,0.024765642358811985,0.4,0.7499999999999999,84,False
Truck w/Box,640,640,256,256,0.25476458819655207,0.4,0.7499999999999999,204,False
Truck Tractor,640,640,256,256,0.0011046251420599254,0.4,0.7499999999999999,86,False
Trailer,640,640,256,256,0.03714833460730723,0.4,0.7499999999999999,135,False
Truck w/Flatbed,640,640,256,256,0.026274434561225374,0.4,0.7499999999999999,162,False
Truck w/Liquid,640,640,256,256,0.009090492200655302,0.4,0.7499999999999999,158,False
Crane Truck,640,640,256,256,0.00752223290117057,0.4,0.7499999999999999,172,False
Railway Vehicle,640,640,256,256,0.11352564659834281,0.4,0.7499999999999999,284,False
Passenger Car,640,640,256,256,0.37888404376932777,0.4,0.7499999999999999,273,False
Cargo Car,640,640,256,256,0.37803417186290594,0.4,0.7499999999999999,174,False
Flat Car,640,640,256,256,0.016920844913791665,0.4,0.7499999999999999,225,False
Tank car,640,640,256,256,0.11352564659834281,0.4,0.7499999999999999,151,False
Locomotive,640,640,256,256,0.06631614731120558,0.4,0.7499999999999999,291,False
Maritime Vessel,640,640,256,256,0.1292421809809228,0.4,0.7499999999999999,1985,False
Motorboat,640,640,256,256,0.054352353247915944,0.4,0.7499999999999999,85,False
Sailboat,640,640,256,256,0.13202466117156944,0.4,0.7499999999999999,132,False
Tugboat,640,640,256,256,0.20486526797947965,0.4,0.7499999999999999,730,False
Barge,640,640,256,256,0.16882332550221316,0.4,0.7499999999999999,2320,False
Fishing Vessel,640,640,256,256,0.0217756022681772,0.4,0.7499999999999999,428,False
Ferry,640,640,256,256,0.23867087433570694,0.4,0.7499999999999999,1651,False
Yacht,640,640,256,256,0.20894069125732395,0.4,0.7499999999999999,513,False
Container Ship,640,640,256,256,0.0521781560283688,0.4,0.7499999999999999,7516,False
Oil Tanker,640,640,256,256,0.14925,0.4,0.7499999999999999,6769,False
Engineering Vehicle,640,640,256,256,0.014305188438457423,0.4,0.7499999999999999,284,False
Tower crane,640,640,256,256,0.0,0.4,0.7499999999999999,2410,False
